影城名称,放映系统,开业时间,银幕宽度(米),银幕高度(米),座位数(个),备注
香港太空館,IMAX GT Dome,1980年10月7日,23,,270,全球第10家IMAX球幕影院，亞洲第1家IMAX球幕影院
香港MY CINEMA YOHO MALL,IMAX数码,2017年7月21日,20.14,11,409,-
香港英皇戲院（尖沙咀iSQUARE）,IMAX Commercial Laser ,2019年12月18日,20.94,11.8,458,12聲道音響系統
香港MCL Cinemas K11 Art House,IMAX Commercial Laser ,2021年3月6日,20.7,11.77,368,12聲道音響系統
香港UA @ K11 Art House,IMAX Commercial Laser ,2019年8月26日,20.7,11.77,368,12聲道音響系統
香港UnionPay IMAX @ UA MegaBox,IMAX数码,2017年7月11日,18,12.64,260,IMAX中国旗下第一家IMAX数码 12聲道音響系統影院
香港UnionPay IMAX @ UA Cine Moko,IMAX数码,2014年1月28日,16.33,9.26,268, (可播放IMAX HFR)
上海科技馆,IMAX GT 3D,2001年12月19日,24.32,18.31,441,"科教影院
全球第74家IMAX影院
中國大陸地區第1家IMAX影院"
上海科技館,IMAX GT Dome,2001年12月19日,23,,280,"科教影院
全球第74家IMAX影院
IMAX中國第1家IMAX球幕影院"
上海和平影都,IMAX数字,2014年8月13日,19.9,16,358,中國大陸地區第2家IMAX影院
上海星美国际影城(正大店) ,IMAX数字,2016年12月24日,24.38,13.88,453,-
上海万达影城(五角场万达广场店) ,IMAX数字,2015年12月13日,22.81,12.048,347,-
上海万达影城(江桥万达广场店) ,IMAX数字,2017年9月8日,23.21,11.957,378,-
上海万达影城(周浦万达广场店) ,IMAX数字,2017年9月7日,20.75,10.8,257,-
上海金逸影城(龙之梦IMAX店) ,IMAX数字,2012年12月22日,16.51,8.41,246,-
上海百丽宫影城(环贸iapm店) ,IMAX数字,2013年8月5日,16.1,9.52,217,-
上海万达影城(松江万达广场店) ,IMAX数字,2014年5月30日,22.17,12.1,395,-
上海SFC上影影城(港汇永华IMAX店) ,IMAX数字,2014年12月18日,15.24,7.85,298,-
上海万达影城(金山万达广场店) ,IMAX数字,2015年7月17日,21.4,11.56,375,-
上海英皇UA电影城(虹桥天地店) ,IMAX数字,2015年9月23日,21.8,11.8,207,-
上海万达影城(颛桥龙盛广场店) ,IMAX数字,2015年12月25日,19.8,10.9,372,-
上海横店电影城(奉贤店) ,IMAX数字,2015年12月31日,19.1,10.8,273,-
上海上影虹桥临空国际影城 ,IMAX数字,2016年1月9日,16.74,9.35,240,-
上海海上明珠国际影城(大宁店) ,IMAX数字,2016年5月28日,20.2,10.91,340,-
上海SFC上影影城(天山缤谷IMAX店) ,IMAX数字,2016年8月3日,18.46,9.81,192,-
上海CGV影城(七宝店) ,IMAX数字,2016年11月1日,19.32,10.29,214,-
上海星轶IMAX影城（九亭U天地旗舰店）,IMAX数字,2016年12月23日,19.57,11.39,263,-
上海SFC上影百联影城(八佰伴IMAX店) ,IMAX数字,2016年12月30日,14.27,7.29,305,-
上海SFC上影影城(绿地缤纷城IMAX店) ,IMAX数字,2017年1月19日,18.72,10.783,224,-
上海SFC上影影城(金桥太茂IMAX店) ,IMAX数字,2017年4月14日,21.68,12.479,330,-
上海SFC上影百联影城(川沙IMAX店) ,IMAX数字,2017年6月8日,19.55,11.38,180,-
上海幸福蓝海国际影城(龙湖宝山天街IMAX店) ,IMAX数字,2017年12月16日,25.44,13.23,288, IMAX中國第二家IMAX数字 12聲道音響系統影院
上海CGV影城(白玉兰广场店) ,IMAX数字,2018年2月9日,23.78,12.56,216,-
上海寰映影城（大融城店）,IMAX Commercial Laser ,2018年6月29日,25.88,13.46,300,12聲道音響系統
上海博悦汇影城(外滩IMAX店),IMAX数字,2018年7月25日,14.8,8.4,224,-
上海百丽宫影城（LCM置汇旭辉广场店）,IMAX数字,2018年9月22日,20.58,10.98,308,-
上海万达影城（宝山万达广场店）,IMAX Commercial Laser ,2019年1月4日,20.05,10.48,229,12聲道音響系統
上海万达影城(青浦万达茂店) ,IMAX数字,2019年6月22日,25.76,13.68,229,-
上海幸福蓝海国际影城(香溢花城IMAX店) ,IMAX数字,2019年12月27日,17.36,8.84,247,-
上海万达影城(浦江万达广场店),IMAX数字,2019年12月31日,20.76,10.78,271,-
上海幸福蓝海国际影城(招商花园城IMAX店) ,IMAX数字,2020年7月24日,21.68,11.4,274, -
